ECG signal fs= 1000 Hz
     (0.001 sec)	   (mV)
500   1.26823529411765E+0000
501   8.42079962606749E-0001
502   7.30822375794637E-0001
503   1.02371559460809E+0000
504   1.53624556732271E+0000
505   1.94945972236302E+0000
506   1.93551913855964E+0000
507   1.47393146421544E+0000
508   7.66824683028893E-0001
509   2.41353533843686E-0001
510   2.55294117647060E-0001
511   8.42079962606749E-0001
512   1.74376355226523E+0000
513   2.45087033345177E+0000
514   2.57506909673448E+0000
515   1.98828325177479E+0000
516   1.00022502091258E+0000
517   1.11482607724695E-0001
518  -1.94351787559337E-0001
519   2.67235886784866E-0001
520   1.26823529411765E+0000
521   2.26923470145043E+0000
522   2.73082237579464E+0000
523   2.43792915698118E+0000
524   1.54918674379330E+0000
525   5.35246159989922E-0001
526  -6.44808614403566E-0002
527   5.97179018423457E-0002
528   7.66824683028893E-0001
529   1.65556709621678E+0000
530   2.25529411764706E+0000
531   2.25629352497984E+0000
532   1.73082237579464E+0000
533   1.03665677107868E+0000
534   5.62127920263887E-0001
535   5.74069689401692E-0001
536   9.87283844442003E-0001
537   1.51275499362721E+0000
538   1.80564821244066E+0000
539   1.68144944915796E+0000
540   1.25529411764706E+0000
541   8.42079962606749E-0001
542   7.17881199324047E-0001
543   1.01077441813750E+0000
544   1.52330439085212E+0000
545   1.93651854589243E+0000
546   1.93551913855964E+0000
547   1.44804911127426E+0000
548   7.40942330087713E-0001
549   2.28412357373096E-0001
550   2.29411764705880E-0001
551   8.16197609665569E-0001
552   1.70494002285346E+0000
553   2.41204680404000E+0000
554   2.53624556732271E+0000
555   1.94945972236302E+0000
556   9.61401491500823E-0001
557   8.56002547835257E-0002
558  -2.20234140500517E-0001
559   2.54294710314276E-0001
560   1.25529411764706E+0000
561   2.25629352497984E+0000
562   2.71788119932405E+0000
563   2.42498798051059E+0000
564   1.52330439085212E+0000
565   5.22304983519332E-0001
566  -7.74220379109466E-0002
567   2.08943724305857E-0002
568   7.28001153617133E-0001
569   1.62968474327560E+0000
570   2.22941176470588E+0000
571   2.23041117203866E+0000
572   1.71788119932405E+0000
573   1.01077441813750E+0000
574   5.49186743793297E-0001
575   5.48187336460512E-0001
576   9.74342667971413E-0001
577   1.49981381715662E+0000
578   1.77976585949948E+0000
579   1.66850827268737E+0000
580   1.24235294117647E+0000
581   8.29138786136159E-0001
582   7.04940022853457E-0001
583   9.97833241666909E-0001
584   1.52330439085212E+0000
585   1.93651854589243E+0000
586   1.93551913855964E+0000
587   1.44804911127426E+0000
588   7.40942330087713E-0001
589   2.28412357373096E-0001
590   2.29411764705880E-0001
591   8.29138786136159E-0001
592   1.71788119932405E+0000
593   2.43792915698118E+0000
594   2.54918674379330E+0000
595   1.97534207530420E+0000
596   9.74342667971413E-0001
597   8.56002547835257E-0002
598  -2.20234140500517E-0001
599   2.41353533843686E-0001
600   1.24235294117647E+0000
601   2.23041117203866E+0000
602   2.70494002285346E+0000
603   2.41204680404000E+0000
604   1.52330439085212E+0000
605   5.22304983519332E-0001
606  -7.74220379109466E-0002
607   4.67767253717557E-0002
608   7.53883506558303E-0001
609   1.62968474327560E+0000
610   2.22941176470588E+0000
611   2.23041117203866E+0000
612   1.70494002285346E+0000
613   9.97833241666909E-0001
614   5.36245567322707E-0001
615   5.35246159989922E-0001
616   9.48460315030233E-0001
617   1.48687264068603E+0000
618   1.76682468302889E+0000
619   1.65556709621678E+0000
620   1.24235294117647E+0000
621   8.16197609665569E-0001
622   7.04940022853457E-0001
623   9.97833241666909E-0001
624   1.52330439085212E+0000
625   1.93651854589243E+0000
626   1.92257796208905E+0000
627   1.44804911127426E+0000
628   7.53883506558303E-0001
629   2.28412357373096E-0001
630   2.42352941176470E-0001
631   8.29138786136159E-0001
632   1.73082237579464E+0000
633   2.43792915698118E+0000
634   2.56212792026389E+0000
635   1.98828325177479E+0000
636   9.87283844442003E-0001
637   9.85414312541157E-0002
638  -1.81410611088757E-0001
639   2.80177063255456E-0001
640   1.28117647058824E+0000
641   2.26923470145043E+0000
642   2.74376355226523E+0000
643   2.45087033345177E+0000
644   1.54918674379330E+0000
645   5.48187336460512E-0001
646  -5.15396849697666E-0002
647   5.97179018423457E-0002
648   7.66824683028893E-0001
649   1.66850827268737E+0000
650   2.25529411764706E+0000
651   2.26923470145043E+0000
652   1.75670472873582E+0000
653   1.04959794754927E+0000
654   5.88010273205057E-0001
655   5.99952042342862E-0001
656   1.02610737385376E+0000
657   1.55157852303897E+0000
658   1.84447174185242E+0000
659   1.73321415504031E+0000
660   1.32000000000000E+0000
661   9.06785844959689E-0001
662   7.95528258147577E-0001
663   1.08842147696103E+0000
664   1.61389262614624E+0000
665   2.02710678118655E+0000
666   2.02610737385376E+0000
667   1.55157852303897E+0000
668   8.57412918323013E-0001
669   3.44882945608396E-0001
670   3.58823529411760E-0001
671   9.58550550842039E-0001
672   1.87317531697111E+0000
673   2.59322327462824E+0000
674   2.71742203791095E+0000
675   2.14357736942184E+0000
676   1.15551913855964E+0000
677   2.79717901842346E-0001
678  -1.31753169711067E-0002
679   4.48412357373096E-0001
680   1.43647058823529E+0000
681   2.43746999556807E+0000
682   2.89905766991229E+0000
683   2.60616445109883E+0000
684   1.70448086144036E+0000
685   7.03481454107572E-0001
686   1.16695609147883E-0001
687   2.40894372430586E-0001
688   9.48001153617133E-0001
689   1.84968474327560E+0000
690   2.44941176470588E+0000
691   2.46335234850925E+0000
692   1.95082237579464E+0000
693   1.24371559460809E+0000
694   7.69186743793297E-0001
695   7.81128512931103E-0001
696   1.19434266797141E+0000
697   1.71981381715662E+0000
698   1.99976585949948E+0000
699   1.88850827268737E+0000
700   1.46235294117647E+0000
701   1.04913878613616E+0000
702   9.24940022853457E-0001
703   1.20489206519632E+0000
704   1.73036321438153E+0000
705   2.13063619295126E+0000
706   2.11669560914788E+0000
707   1.62922558186250E+0000
708   9.09177624205363E-0001
709   3.83706475020156E-0001
710   3.84705882352940E-0001
711   9.71491727312629E-0001
712   1.86023414050052E+0000
713   2.56734092168706E+0000
714   2.66565733202859E+0000
715   2.07887148706890E+0000
716   1.07787207973611E+0000
717   1.76188490077636E-0001
718  -1.29645905206397E-0001
719   3.31941769137806E-0001
720   1.32000000000000E+0000
721   2.30805823086219E+0000
722   2.76964590520640E+0000
723   2.46381150992236E+0000
724   1.56212792026389E+0000
725   5.35246159989922E-0001
726  -5.15396849697666E-0002
727   4.67767253717557E-0002
728   7.53883506558303E-0001
729   1.64262591974619E+0000
730   2.22941176470588E+0000
731   2.23041117203866E+0000
732   1.70494002285346E+0000
733   1.01077441813750E+0000
734   5.36245567322707E-0001
735   5.48187336460512E-0001
736   9.61401491500824E-0001
737   1.49981381715662E+0000
738   1.77976585949948E+0000
739   1.66850827268737E+0000
740   1.24235294117647E+0000
741   8.16197609665569E-0001
742   7.04940022853457E-0001
743   9.84892065196319E-0001
744   1.51036321438153E+0000
745   1.91063619295126E+0000
746   1.90963678561847E+0000
747   1.42216675833309E+0000
748   7.02118800675953E-0001
749   1.89588827961336E-0001
750   1.90588235294120E-0001
751   7.90315256724399E-0001
752   1.67905766991229E+0000
753   2.38616445109883E+0000
754   2.49742203791095E+0000
755   1.91063619295126E+0000
756   9.22577962089053E-0001
757   4.67767253717557E-0002
758  -2.46116493441697E-0001
759   2.28412357373096E-0001
760   1.24235294117647E+0000
761   2.24335234850925E+0000
762   2.70494002285346E+0000
763   2.41204680404000E+0000
764   1.51036321438153E+0000
765   5.09363807048742E-0001
766  -9.03632143815266E-0002
767   2.08943724305857E-0002
768   7.28001153617133E-0001
769   1.61674356680502E+0000
770   2.21647058823529E+0000
771   2.21746999556807E+0000
772   1.69199884638287E+0000
773   9.71950888725739E-0001
774   4.97422037910947E-0001
775   5.09363807048742E-0001
776   9.22577962089053E-0001
777   1.46099028774485E+0000
778   1.75388350655830E+0000
779   1.64262591974619E+0000
780   1.21647058823529E+0000
781   7.90315256724399E-0001
782   6.79057669912287E-0001
783   9.59009712255149E-0001
784   1.48448086144036E+0000
785   1.88475384001008E+0000
786   1.87081325620670E+0000
787   1.39628440539191E+0000
788   7.02118800675953E-0001
789   1.76647651490746E-0001
790   1.77647058823530E-0001
791   7.77374080253809E-0001
792   1.66611649344170E+0000
793   2.37322327462824E+0000
794   2.49742203791095E+0000
795   1.91063619295126E+0000
796   9.22577962089053E-0001
797   3.38355489011657E-0002
798  -2.71998846382867E-0001
799   1.89588827961336E-0001
800   1.19058823529412E+0000
801   2.17864646615631E+0000
802   2.64023414050052E+0000
803   2.33439974521647E+0000
804   1.44565733202859E+0000
805   4.44657924695802E-0001
806  -1.42127920263887E-0001
807  -1.79291569811843E-0002
808   7.15059977146543E-0001
809   1.64262591974619E+0000
810   2.29411764705882E+0000
811   2.34688176027396E+0000
812   1.88611649344170E+0000
813   1.24371559460809E+0000
814   8.33892626146237E-0001
815   9.10540277636982E-0001
816   1.41434266797141E+0000
817   2.03040205245073E+0000
818   2.42682468302889E+0000
819   2.41909650798149E+0000
820   2.10941176470588E+0000
821   1.82560937437145E+0000
822   1.83082237579464E+0000
823   2.25312735931397E+0000
824   2.90801027320506E+0000
825   3.43769501648067E+0000
826   3.54022502091258E+0000
827   3.16922558186250E+0000
828   2.53976585949948E+0000
829   2.07900059266722E+0000
830   2.10588235294118E+0000
831   2.67972702143028E+0000
832   3.52964590520640E+0000
833   4.14616445109883E+0000
834   4.12801027320506E+0000
835   3.38593031059831E+0000
836   2.21669560914788E+0000
837   1.14677672537176E+0000
838   6.46824683028893E-0001
839   9.27235886784866E-0001
840   1.72117647058824E+0000
841   2.52805823086219E+0000
842   2.82141061108876E+0000
843   2.36028209815765E+0000
844   1.32918674379330E+0000
845   1.85834395284040E-0001
846  -5.30363214381531E-0001
847  -5.35576215804712E-0001
848   8.09423300877172E-0002
849   9.04978860922664E-0001
850   1.44000000000000E+0000
851   1.40217587792102E+0000
852   8.50822375794636E-0001
853   1.17833241666911E-0001
854  -3.56695609147881E-0001
855  -3.57695016480666E-0001
856   6.84603150302344E-0002
857   5.93931464215442E-0001
858   8.99765859499482E-0001
859   8.01449449157958E-0001
860   3.88235294117647E-0001
861  -2.49788609226640E-0002
862  -1.36236447734776E-0001
863   1.56656771078676E-0001
864   6.69186743793296E-0001
865   1.06945972236302E+0000
866   1.06846031503023E+0000
867   5.93931464215442E-0001
868  -1.00234140500517E-0001
869  -5.99822936744549E-0001
870  -5.72941176470588E-0001
871   6.56093743714541E-0002
872   9.93175316971106E-0001
873   1.76498798051060E+0000
874   1.94095144967565E+0000
875   1.41887148706890E+0000
876   4.82577962089057E-0001
877  -3.28517392275300E-0001
878  -5.69645905206401E-0001
879  -4.33523485092551E-0002
880   1.00941176470588E+0000
881   2.04923470145043E+0000
882   2.56258708167699E+0000
883   2.29557621580471E+0000
884   1.41977497908742E+0000
885   4.31716748225212E-0001
886  -1.68010273205057E-0001
887  -5.67526863929443E-0002
888   6.50354094793603E-0001
889   1.55203768445207E+0000
890   2.15176470588235E+0000
891   2.16570528968572E+0000
892   1.65317531697111E+0000
893   9.59009712255149E-0001
894   4.97422037910947E-0001
895   5.09363807048742E-0001
896   9.35519138559643E-0001
897   1.47393146421544E+0000
898   1.77976585949948E+0000
899   1.66850827268737E+0000
900   1.25529411764706E+0000
901   8.42079962606749E-0001
902   7.30822375794637E-0001
903   1.01077441813750E+0000
904   1.52330439085212E+0000
905   1.92357736942184E+0000
906   1.89669560914788E+0000
907   1.40922558186250E+0000
908   7.02118800675953E-0001
909   1.76647651490746E-0001
910   1.90588235294120E-0001
911   7.90315256724399E-0001
912   1.69199884638287E+0000
913   2.41204680404000E+0000
914   2.53624556732271E+0000
915   1.96240089883361E+0000
916   9.74342667971413E-0001
917   8.56002547835257E-0002
918  -1.94351787559337E-0001
919   2.93118239726036E-0001
920   1.29411764705882E+0000
921   2.29511705439160E+0000
922   2.78258708167699E+0000
923   2.48969386286353E+0000
924   1.60095144967565E+0000
925   5.99952042342862E-0001
926   1.31661973831734E-0002
927   1.11482607724695E-0001
928   8.18589388911243E-0001
929   1.72027297856972E+0000
930   2.30705882352941E+0000
931   2.32099940733278E+0000
932   1.79552825814758E+0000
933   1.10136265343162E+0000
934   6.26833802616827E-0001
935   6.38775571754633E-0001
936   1.06493090326552E+0000
937   1.59040205245073E+0000
938   1.88329527126418E+0000
939   1.77203768445207E+0000
940   1.35882352941176E+0000
941   9.45609374371449E-0001
942   8.34351787559337E-0001
943   1.12724500637279E+0000
944   1.65271615555800E+0000
945   2.05298913412773E+0000
946   2.03904855032435E+0000
947   1.56451969950956E+0000
948   8.44471741852423E-0001
949   3.19000592667216E-0001
950   3.32941176470590E-0001
951   9.32668197900869E-0001
952   1.82141061108876E+0000
953   2.54145856874588E+0000
954   2.66565733202859E+0000
955   2.10475384001008E+0000
956   1.10375443267729E+0000
957   2.27953195959996E-0001
958  -6.49400228534568E-0002
959   4.09588827961336E-0001
960   1.39764705882353E+0000
961   2.38570528968572E+0000
962   2.86023414050052E+0000
963   2.56734092168706E+0000
964   1.67859850849918E+0000
965   6.64657924695802E-0001
966   7.78720797361134E-0002
967   1.89129666548226E-0001
968   8.96236447734773E-0001
969   1.78497886092266E+0000
970   2.38470588235294E+0000
971   2.39864646615631E+0000
972   1.87317531697111E+0000
973   1.17900971225515E+0000
974   7.17422037910947E-0001
975   7.29363807048742E-0001
976   1.15551913855964E+0000
977   1.68099028774485E+0000
978   1.97388350655830E+0000
979   1.86262591974619E+0000
980   1.43647058823529E+0000
981   1.02325643319498E+0000
982   8.99057669912287E-0001
983   1.19195088872574E+0000
984   1.71742203791095E+0000
985   2.13063619295126E+0000
